"2005/078/1/18","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Building huts. Nairobi Police lines","Six men looking at framework of a hut

Original manuscript caption: Building huts. Nairobi Police lines","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-18[V2].tif","[Copyright] Bristol Record Office","204490"
"2005/078/1/180","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Wooden bridge guarded by police","Two armed men stand in front of a wooden bridge

Original manuscript caption: A native bridge guarded","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-180.tif","[Copyright] Bristol Record Office","205303"
"2005/078/1/181","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Policemen by bridge of creeping vines","Two armed men stand in front of a wooden bridge

Original manuscript caption: Bridge of creeping vines","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-181.tif","[Copyright] Bristol Record Office","205304"
"2005/078/1/182","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Wooden bridge with creeping vines","Side view of a wooden bridge

Original manuscript caption: A bridge","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-182.tif","[Copyright] Bristol Record Office","205305"
"2005/078/1/183","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali Chief","Portrait of a robed man armed with a shield and spear

Original manuscript caption: Somali Chief","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-183[v2].tif","[Copyright] Bristol Record Office","205306"
"2005/078/1/184","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali Chiefs","Portrait of two Somali men, one standing and one seated

Original manuscript caption: Somali Chiefs","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-184.tif","[Copyright] Bristol Record Office","205307"
"2005/078/1/185","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali Chiefs","Portrait of two Somali men, one standing and one seated

Original manuscript caption: Somali Chiefs","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-185.tif","[Copyright] Bristol Record Office","205308"
"2005/078/1/186","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","River Zero","View of river lined with trees

Original manuscript caption: R. Zero Branch of the Juba","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-186.tif","[Copyright] Bristol Record Office","205309"
"2005/078/1/187","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Falbeul caught out","A sleeping man lying on the ground near a canopy of trees looks up in surprise

Original manuscript caption: Falbeul caught out","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-187.tif","[Copyright] Bristol Record Office","205310"
"2005/078/1/188","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali Chiefs","Two seated men in white robes, with one man standing between them, possibly a policeman

Original manuscript caption: Somali Chiefs","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-188.tif","[Copyright] Bristol Record Office","205311"
"2005/078/1/189","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Wooden bridge with creeping vines","Side view of wooden bridge

Original manuscript caption: Native bridge of creeping vines","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-189.tif","[Copyright] Bristol Record Office","205312"
"2005/078/1/19","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Doctor's House, Kismayu","Exterior of house

Original manuscript caption: Doctor's House, Kismayu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-19[V2].tif","[Copyright] Bristol Record Office","204491"
"2005/078/1/190","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali Chiefs","Two seated men in white robes, with one man standing between them, possibly a policeman

Original manuscript caption: Somali Chiefs","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-190[v2].tif","[Copyright] Bristol Record Office","205313"
"2005/078/1/191","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali herd","Long horizontal line of cattle in a field

Original manuscript caption: Somali herd","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-191.tif","[Copyright] Bristol Record Office","205314"
"2005/078/1/192","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hippo rising","Row of trees taken from across water. Hippo not visible owing to faded quality of photograph 

Original manuscript caption:  Hippo rising","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-192.tif","[Copyright] Bristol Record Office","205315"
"2005/078/1/193","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Policeman with hyena","Cut out picture of man in police uniform holding onto an animal captioned as a hyena

Original manuscript caption: Hyena","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-193.tif","[Copyright] Bristol Record Office","205316"
"2005/078/1/194","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hippo rising","Row of trees taken from across water. Hippo not visible owing to faded quality of photograph 

Original manuscript caption: Hippo rising","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-194.tif","[Copyright] Bristol Record Office","205317"
"2005/078/1/195","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","The Fort, Lamu","View of walls leading to old fortress buildings

Original manuscript caption: The Fort Lamu","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","BEC 2005-078-1-195[v2].tif","[Copyright] Bristol Record Office","205318"
"2005/078/1/196","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","P.L. and his escort","Posed group of Somali police with prominent European figure in centre

Original manuscript caption: P.L. & his escort","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-196.tif","[Copyright] Bristol Record Office","205319"
"2005/078/1/197","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","P.L. and his escort","Posed group of Somali police with prominent European figure in centre

Original manuscript caption: P.L. & his escort","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-197.tif","[Copyright] Bristol Record Office","205320"
"2005/078/1/198","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","P.L. and his escort","Posed group of Somali police with prominent European figure in centre

Original manuscript caption: P.L. & his escort","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","BEC 2005-078-1-198[v2].tif","[Copyright] Bristol Record Office","205321"
"2005/078/1/199","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","P.L. and his escort","Posed group of Somali police with prominent European figure in centre

Original manuscript caption: P.L. & his escort","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-199.tif","[Copyright] Bristol Record Office","205322"
"2005/078/1/2","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Capt. Robertson-Eustace A.D.S.P.","Full length profile portrait of the Captain with trees behind

Original manuscript caption: Capt. Robertson-Eustace A.D.S.P. [Assistant District Superintendent of Police]","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-2[v2].tif","[Copyright] Bristol Record Office","204474"
"2005/078/1/20","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Back entrance. Police Lines, Kismayu","Doorway in wall viewed across courtyard

Original manuscript caption: Back entrance. Police Lines, Kismayu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-20[V2].tif","[Copyright] Bristol Record Office","204492"
"2005/078/1/200","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Active group of Somali men","Group of Somali men in white robes, holding spears. Possibly dancing.","c. 1910","1 photograph","1 b/w photograph glued into album, in very faded condition","2005-078-1-200.tif","[Copyright] Bristol Record Office","205323"
"2005/078/1/201","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Street in Lamu","View of street with thatched huts and palm trees

Original manuscript caption: Street in Lamu","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-201.tif","[Copyright] Bristol Record Office","205324"
"2005/078/1/202","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Kismayu buildings","View of some buildings and open space in Kismayu

Original manuscript caption: Kismayu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-202[v2].tif","[Copyright] Bristol Record Office","205325"
"2005/078/1/203","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Exterior view of Elliott's house","Exterior view of large two storey house with balcony

Original manuscript caption: My House","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-203[v2].tif","[Copyright] Bristol Record Office","205326"
"2005/078/1/204","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Active group of Somali men","Group of Somali men in white robes, holding spears. Possibly dancing.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-204[v2].tif","[Copyright] Bristol Record Office","205327"
"2005/078/1/205","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted zebra","African man leaning over a dead zebra

Original manuscript caption: Good Zebra Shot by Capt. Bois","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-205[v2].tif","[Copyright] Bristol Record Office","205328"
"2005/078/1/206","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted wildebeest","Two African men leaning over a dead wildebeest, holding it up by the horns

Original manuscript caption: Wildebeaste by Bois","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-206[v2].tif","[Copyright] Bristol Record Office","205329"
"2005/078/1/207","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Oryz Beisa","Oryx Beisa lying in a field

Original manuscript caption: My best Oryz Beisa","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-207[v2].tif","[Copyright] Bristol Record Office","205330"
"2005/078/1/208","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted buffalo","Dead buffalo lying among grass

Original manuscript caption: The Mighty Dead by Maling","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-208[v2].tif","[Copyright] Bristol Record Office","205331"
"2005/078/1/209","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted oryx beisa","Dead oryx beisa lying in a field","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-209[v2].tif","[Copyright] Bristol Record Office","205332"
"2005/078/1/21","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Entrance, Kismayu Police Lines","Long, low building with gateway and one figure

Original manuscript caption: Entrance Kismayu Police Lines","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-21[V2].tif","[Copyright] Bristol Record Office","204493"
"2005/078/1/210","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted topi","Dead antelope lying in a field

Original manuscript caption: Topi (poor) by Bois","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-210[v2].tif","[Copyright] Bristol Record Office","205333"
"2005/078/1/211","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Close up shot of bird","A bird shrieks as it lies in a field

Original manuscript caption: Help!!!","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-211[v2].tif","[Copyright] Bristol Record Office","205334"
"2005/078/1/212","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted emu","African man standing by a large bird, possibly an emu or similar animal, holding up its feathers

Original manuscript caption: Forbidden Game","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-212[v2].tif","[Copyright] Bristol Record Office","205335"
"2005/078/1/213","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted buffalo","European man with shotgun standing by a dead buffalo

Buffalo. One we did not shoot bagged by Maling of the K.A.R.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-213[v2].tif","[Copyright] Bristol Record Office","205336"
"2005/078/1/214","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted gazelle","A Somalian man holds up a dead gazelle's horns to show its face

Original manuscript caption: A fair Peterseye by Elliott","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-214[v2].tif","[Copyright] Bristol Record Office","205337"
"2005/078/1/215","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted waterbuck","A European man in a pith helmet holds a dead animal by its horns

Original manuscript caption: Bois over a good head of Waterbuck","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-215[v2].tif","[Copyright] Bristol Record Office","205338"
"2005/078/1/216","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali bush country","View of bush country on safari

Original manuscript caption: Somali country","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-216.tif","[Copyright] Bristol Record Office","205339"
"2005/078/1/217","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Grant's Gazelle","Grants Gazelle lying in a field

Original manuscript caption: Elliott's Grants' Gazelle","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-217[v2].tif","[Copyright] Bristol Record Office","205340"
"2005/078/1/218","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted kudu","An African man holds up a dead kudu's horns to show its face

Original manuscript caption: Lesser Kudoo Bois in luck again","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-218[v2].tif","[Copyright] Bristol Record Office","205341"
"2005/078/1/219","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted gazelle","An African man holds up a dead gazelle's horns to show its face

Original manuscript caption: Real beauty Grants' Gazelle Elliott","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-219[v2].tif","[Copyright] Bristol Record Office","205342"
"2005/078/1/22","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Jail, Kismayu","View of building with figures in foreground

Original manuscript caption: Jail Kismayu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-22[V2].tif","[Copyright] Bristol Record Office","204494"
"2005/078/1/220","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Port Said street scene","Busy street scene in Port Said with traders and shoppers facing the camera. The Simon Arzt department store is in the foreground. 

Printed caption illegible.","c. 1910","1 photograph","1 faded sepia photograph glued into album","BEC 2005-078-1-220[v2].tif","[Copyright] Bristol Record Office","205343"
"2005/078/1/221","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","Looking down over Port Said and the lighthouse","View looking down over streets and buildings of Port Said, with the lighthouse in the distance

Printed caption (partly legible): No. 24 Assemble...Port Said et le Phare","c. 1910","1 photograph","1 faded sepia photograph glued into album","BEC 2005-078-1-221[v2].tif","[Copyright] Bristol Record Office","205344"
"2005/078/1/222","Elliott","Egypt","default","default","default","default","default","default","default","default","default","Item","View of Port Said taken from above","View of Port Said streets and buildings taken from above

Printed caption: Vue Generale de Port Said","c. 1910","1 photograph","1 sepia photograph glued into album","BEC 2005-078-1-222[v2].tif","[Copyright] Bristol Record Office","205345"
"2005/078/1/223","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted oryx beisa","View of dead antelope with rifle laid across it

Original manuscript caption: My Oryx Beisa","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-223[v2].tif","[Copyright] Bristol Record Office","205346"
"2005/078/1/224","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted lesser kudu","An African man holds up a dead antelope's horns to show its face

Original manuscript caption: Lesser Kudoo Bois","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-224[v2].tif","[Copyright] Bristol Record Office","205347"
"2005/078/1/225","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Safari campfire and tents","Distant view of campfire and tents in a tranquil setting, with figures sitting in the camp.

Original manuscript caption: Peace perfect peace","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-225[v2].tif","[Copyright] Bristol Record Office","205348"
"2005/078/1/226","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","View across Somali bushland","View across bushland on safari

Original manuscript caption: Somali Country","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-226.tif","[Copyright] Bristol Record Office","205349"
"2005/078/1/227","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted gazelle","An African man holds up a dead gazelle's horns to show its face

Original manuscript caption: Fine Grants' Gazelle by Bois","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-227[v2].tif","[Copyright] Bristol Record Office","205350"
"2005/078/1/228","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted kudu","An African man holds up a dead antelope's horns to show its face

Original manuscript caption: Lesser Kudoo Bois","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-228[v2].tif","[Copyright] Bristol Record Office","205351"
"2005/078/1/229","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Camping spot, Deshek Warnu","A pool with bush land, trees and hills beyond

Original manuscript caption: My favourite camping place Deshek Warnu","c. 1910","1 photograph","1 b/w photograph glued into album","2005-078-1-229.tif","[Copyright] Bristol Record Office","205352"
"2005/078/1/23","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Kismayu","View from above of buildings and trees

Original manuscript caption: Kismayu","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-23[V2].tif","[Copyright] Bristol Record Office","204495"
"2005/078/1/230","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Hunted gazelle","An African man holds up a dead Soemmering gazelle's horns to show its face

Original manuscript caption: Good Goemmering [sic] Gazelle","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-230[v2].tif","[Copyright] Bristol Record Office","205353"
"2005/078/1/231","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Panorama of Kismayu","Panoramic view of Kismayu created from 4 photographs, showing coastline, thatched huts and formal buildings

Original manuscript caption: Kismayu","c. 1910","1 photograph","4 b/w photographs glued into album","BEC 2005-078-1-231[v2].tif","[Copyright] Bristol Record Office","204374"
"2005/078/1/24","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Col. Kirk-Patrick 3rd K.A.R.","Three men photographed from behind, including Col. Kirk-Patrick of the King's African Rifles in foreground

Original manuscript caption: Col. Kirk-Patrick 3rd K.A.R.","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-24[V2].tif","[Copyright] Bristol Record Office","204496"
"2005/078/1/25","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Kismayu Group","Eleven men in pith helmets posed for a group photograph

Original manuscript caption: Kismayu Group","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-25[V2].tif","[Copyright] Bristol Record Office","204497"
"2005/078/1/26","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Mombasa Police","Line of Police with rifles and sabres

Original manuscript caption: Mombasa Police","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-26[V2].tif","[Copyright] Bristol Record Office","204498"
"2005/078/1/27","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Mombasa Police","Line of Police aiming rifles 

Original manuscript caption: Mombasa Police","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-27[V2].tif","[Copyright] Bristol Record Office","204499"
"2005/078/1/28","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Lieut. Corbett Winder","Lieutenant facing camera, with a dog and another man behind

Original manuscript caption: Lieut. Corbett Winder","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-28[V2].tif","[Copyright] Bristol Record Office","204500"
"2005/078/1/29","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Mombasa Police","Police troops lined up

Original manuscript caption: Mombasa Police","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-29[V2].tif","[Copyright] Bristol Record Office","204501"
"2005/078/1/3","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Somali police recruits","Line of troops being inspected by Captain Robertson-Eustace, Assistant District Superintendent of Police.

Original manuscript caption: Somali recruits","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-3[v2].tif","[Copyright] Bristol Record Office","204475"
"2005/078/1/30","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Capt. Robertson-Eustace","Man standing on verandah with plants below, holding a pith helmet.

Original manuscript caption: Capt. Robertson-Eustace","c. 1910","default","1 b/w photograph glued into album","BEC 2005-078-1-30[V2].tif","[Copyright] Bristol Record Office","204502"
"2005/078/1/31","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Capt. Robertson-Eustace","Man standing on verandah with plants below, holding a pith helmet.

Original manuscript caption: Capt. Robertson-Eustace","c. 1910","default","1 b/w photograph glued into album","BEC 2005-078-1-31[V2].tif","[Copyright] Bristol Record Office","204503"
"2005/078/1/32","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Police on transfer","Crowd of men under a ship's awning

Original manuscript caption: Police on transfer","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-32[V2].tif","[Copyright] Bristol Record Office","204504"
"2005/078/1/33","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Disembarking troops, Anglo-Somali War","Troops on deck of ship, returning from one of the campaigns of the Anglo-Somali War

Original manuscript caption: Disembarking troops returning from Mad Mullah Campaign","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-33[V2].tif","[Copyright] Bristol Record Office","204505"
"2005/078/1/34","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Major Branding's orderly","African man standing next to horse with nosebag

Original manuscript caption: Major Branding's orderly","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-34[V2].tif","[Copyright] Bristol Record Office","204506"
"2005/078/1/35","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Troop ship, Anglo-Somali War","Section of a troop ship

Original manuscript caption: Troops returning from Mad Mullah Campaign","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-35[V2].tif","[Copyright] Bristol Record Office","204507"
"2005/078/1/36","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Bored Policemen, Anglo-Somali War","Men sitting on deck of a ship, returning from one of the campaigns of the Anglo-Somali War

Original manuscript caption: Bored Policemen","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-36[V2].tif","[Copyright] Bristol Record Office","204508"
"2005/078/1/37","Elliott","Jubaland","Somalia","default","default","default","default","default","default","default","default","Item","Troops on a troop ship, Anglo-Somali War","Crowds of men on a ship

Original manuscript caption: Troops on a troop ship","c. 1910","default","1 b/w photograph glued into album","BEC 2005-078-1-37[V2].tif","[Copyright] Bristol Record Office","204509"
"2005/078/1/38","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","German mail leaving Mombasa","Steam ship with figures in foreground

Original manuscript caption: German mail leaving Mombasa","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-38[V2].tif","[Copyright] Bristol Record Office","204510"
"2005/078/1/39","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","German mail","Steamship on water

Original manuscript caption: German mail","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-39[V2].tif","[Copyright] Bristol Record Office","204511"
"2005/078/1/4","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Police lines entrance with Sergt. Major in foreground","Somali sergeant standing at entrance to Police Department

Original manuscript caption: Police lines entrance with Sergt. Major in foreground","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-4[v2].tif","[Copyright] Bristol Record Office","204476"
"2005/078/1/40","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Disembarking troops, Anglo-Somali War","Troops on deck of ship  photographed from above 

Original manuscript caption: Disembarking troops","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-40[V2].tif","[Copyright] Bristol Record Office","204512"
"2005/078/1/41","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Col. Kirk-Patrick 3rd Kings African Rifles + Adjutant","Two men examining documents on deck of a ship

Original manuscript caption: Col. Kirk-Patrick 3rd Kings African Rifles + Adjutant","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-41[V2].tif","[Copyright] Bristol Record Office","204513"
"2005/078/1/42","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Mrs. Rigby","Seated woman with man standing at side and dog in foreground

Original manuscript caption: Mrs. Rigby","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-42[V2].tif","[Copyright] Bristol Record Office","204514"
"2005/078/1/43","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Railway carriage","View of a stationary railway carriage

Original manuscript caption: My railway carriage","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-43[V2].tif","[Copyright] Bristol Record Office","204515"
"2005/078/1/44","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Train entering Tsavo Railway Station","Long stretch of railway line with approaching steam train

Original manuscript caption: Train entering Tsavo Railway Station","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-44[V2].tif","[Copyright] Bristol Record Office","204516"
"2005/078/1/45","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Rhino feeding","View of open land with trees

Original manuscript caption: Rhino feeding","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-45[V2].tif","[Copyright] Bristol Record Office","204517"
"2005/078/1/46","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Rhino feeding","View of open land with trees

Original manuscript caption: Rhino feeding","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-46[V2].tif","[Copyright] Bristol Record Office","204518"
"2005/078/1/47","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Rhino feeding","View of open land with trees

Original manuscript caption: Rhino feeding","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-47[V2].tif","[Copyright] Bristol Record Office","204519"
"2005/078/1/48","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Rhino feeding","View of open land with trees

Original manuscript caption: Rhino feeding","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-48[V2].tif","[Copyright] Bristol Record Office","204520"
"2005/078/1/49","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","Mrs. Rigby's-drawing room","Corner of room with sofa, lamps and photographs

Original manuscript caption: Mrs. Rigby's-drawing room","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-49[V2].tif","[Copyright] Bristol Record Office","204521"
"2005/078/1/5","Elliott","Somalia","Jubaland","default","default","default","default","default","default","default","default","Item","Group of house cleaners","Four young men and a dog sitting on the steps of a house.

Original manuscript caption: Some of my house boys","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-5[v2].tif","[Copyright] Bristol Record Office","204477"
"2005/078/1/50","Elliott","Kenya","default","default","default","default","default","default","default","default","default","Item","African labourers working in a trench","African labourers working in a trench

Original manuscript caption: Natives at work","c. 1910","1 photograph","1 b/w photograph glued into album","BEC 2005-078-1-50[V2].tif","[Copyright] Bristol Record Office","204522"
