Object Number,Department: ,Collection,Named Collection,Simple Name: (Collection Details)/Object Name/Object Name: (Classification),Full Name: (Collection Details),Extent: (ISAD(G) Identity Statement),Physical Description: (Collection Details),Physical/Technical/Physical/ Technical: (Conditions of Access and Use),Extent: (Physical Details)/Extent and Medium: (ISAD(G) Identity Statement),Scope and Content: (Archival Description)/Scope and Content: (Content and Structure),Geographic Name: (Names),Unit Date: (Unit Details)/Date(s): (ISAD(G) Identity Statement),Physical Description: (Physical Details),Place Details: (Production Place),Associated Date: (Content Details)/Production Date: (Production Dates),Site Name: (Code / Name)/Site Name: (Collection Details),Sites: (Subject Details)/Locality: (Locality Details),Place Details: (Production Place duplicate),Main Title: (Title Details)/Title: (Object Details),Artist's Name: (Artist Details),Taxon: (Content Details)/Taxon: (Taxonomic Details),Age: (Specimen)
2000/084/1/1/4/34,Bristol Record Office,British Empire & Commonwealth,Wright,,Mosque at Kismayo,1 photograph,,1 sepia postcard,,"Postcard of a mosque in Kismayo, with the sea in the background. Printed caption: CHISIMO - Moschea Edizione Artistiche Foto Cine - Mogadiscio",Somalia,c. 1940,,,,,,,,,,
2000/084/1/1/4/38,Bristol Record Office,British Empire & Commonwealth,Wright,,Sailors on a dhow,1 photograph,,1 sepia photograph,,"A group of sailors crew a dhow, presumably off the coast of Somalia.",Somalia,c. 1938,,,,,,,,,,
2000/084/1/1/4/40,Bristol Record Office,British Empire & Commonwealth,Wright,,Dhows off Ciula,1 photograph,,1 b/w photograph,,"Dhows at sail off the coast of the island of Ciula, Somalia. Typescript caption on ""Governo della Somalia Italiana"" label: Vita Somala Isola di Ciula Imbarcazioni locali 1930",Somalia,1930,,,,,,,,,,
2000/084/1/1/4/84,Bristol Record Office,British Empire & Commonwealth,Wright,,"View of the Almnara Tower, Mogadishu",1 photograph,,1 b/w photograph,,View of a Mogadishu street scene with the Mnara Tower in the distance and a railway line running alongside. Typescript caption: Mogadiscio - La torre Mnara e terreno circostante come era nel febbraio 1935,Somalia,Feb-35,,,,,,,,,,
2000/084/1/1/4/116,Bristol Record Office,British Empire & Commonwealth,Wright,,Carved doorway and two chairs,1 photograph,,1 b/w photograph,,"View of an ornately carved doorway flanked by 2 similarly carved chairs, possibly at a museum or mosque.",Somalia,c. 1935,,,,,,,,,,
2000/084/1/1/4/125,Bristol Record Office,British Empire & Commonwealth,Wright,,Top portion of ornately carved doorway,1 photograph,,1 sepia photograph,,"Close up shot of top portion of an ornately carved door, possibly in a mosque or museum.",Somalia,c. 1935,,,,,,,,,,
2000/084/1/1/4/147,Bristol Record Office,British Empire & Commonwealth,Wright,,Mogadishu street scene,1 photograph,,1 b/w photograph,,"Street scene in Mogadishu, showing people and bicycles with a bar and a minaret in the background.",Somalia,c. 1938,,,,,,,,,,
2005/010,Bristol Record Office,British Empire & Commonwealth,Morey,,Morey collection,"19 volumes, 13 files",,,19 volumes and 13 files,"Geoffrey Morey was an ENT surgeon at Lincoln County Hospital and a keen photographer. With his wife Yvonne, he spent his 6 weeks annual leave each year employed by international companies or organisations to take films and photographs of their overseas operations. This was common in the days before such organisations had photographers on the staff. Morey had seen service in both WW1 and WW2, and visited over 116 countries. He was a Fellow of the Royal Geographic Society, the Royal Zoological Society and the Royal Society of Medicine, and had a special expertise in Australian animals. He began making colour films as soon as the technology was available, and already by the 1960s stated on his resume that he had 32 years experience of filming in colour. Although there are fewer available details about Yvonne Morey, she was clearly a talented photographer who received commissions in her own right, and approximately half the photographs in this collection were taken by her. This collection contains a mixture of photograph albums and loose prints taken by the Moreys between 1920 - 1969, mainly 1958-1969. The photographs cover large areas of the Commonwealth, including Australia and the Pacific, Africa, Asia and the Caribbean. They feature scenery, wildlife, places of interest, local people and customs. Approximately half the album photos were taken by Geoffrey and half by Yvonne. Many of them were commissioned by tourist offices in the countries represented, and the Moreys passion for travel and exploration of other cultures is clear throughout the collection. This catalogue was produced with support from the National Cataloguing Grants Programme for Archives",,1920-1969,,,,,,,,,,
2005/010/1/13/35,Bristol Record Office,British Empire & Commonwealth,Morey,,"Schoolchildren cross town square in Castries, St Lucia",1 photograph,,1 b/w photograph glued into album,1 b/w photograph,"Schoolchildren cross a town square in Old Castries, lined with colonial-style buildings. Castries, St Lucia, 1965. Caption reads 'PART OF OLD CASTRIES, THE CAPITAL OF St. Lucia'.",St Lucia,1965,,,,,,,,,,
2005/010/1/13/34,Bristol Record Office,British Empire & Commonwealth,Morey,,Sugar cane harvest Barbados,1 photograph,,1 b/w photograph glued into album,1 b/w photograph,"Sugar cane harvest, Barbados. Three men harvest sugar cane at a plantation, cutting the crop into manageable lengths with a machete before stacking it onto a trailer. Barbados, 1965. Caption reads 'SUGAR IS BY FAR THE MOST IMPORTANT INDUSTRY IN BARBADOS'.",Barbados,1965,,,,,,,,,,
2005/010/1/13/30,Bristol Record Office,British Empire & Commonwealth,Morey,,"The main street, Bridgetown, Barbados",1 photograph,,1 b/w photograph glued into album,1 b/w photograph,"The main street, Bridgetown. Traffic and pedestrians travel along the main street of Bridgetown in front of modern shops with window displays. Bridgetown, Barbados, 1965. Caption reads 'THE MAIN STREET OF BRIDGETOWN, BARBADOS CAPITAL'.",Barbados,1965,,,,,,,,,,
2005/010/1/13/28,Bristol Record Office,British Empire & Commonwealth,Morey,,"The Careenage in Bridgetown, Barbados",1 photograph,,1 b/w photograph glued into album,1 b/w photograph,"The Careenage in Bridgetown. A number of small motor boats are moored along the Careenage. Bridgetown, Barbados, 1965. Caption reads 'THE CAREENAGE IS AN INLET OF THER SEA WHICH COMES RIGHT IN TO THE CITY ITSELF'.",Barbados,1965,,,,,,,,,,
2005/010/1/13/36,Bristol Record Office,British Empire & Commonwealth,Morey,,"The Pitons, St Lucia",1 photograph,,1 b/w photograph glued into album,1 b/w photograph,"The Pitons, St Lucia. The Pitons rise up from the coastline of St Lucia. St Lucia, 1965.",St Lucia,1965,,,,,,,,,,
2005/010/1/13/37,Bristol Record Office,British Empire & Commonwealth,Morey,,"The Pitons, St Lucia",1 photograph,,1 b/w photograph glued into album,1 b/w photograph,"The Pitons, St Lucia. One of the Pitons rises up from the coastline of St Lucia, behind a beach of silhouetted palm trees. St Lucia, 1965. Caption reads 'LES PITONS - THE MOST PICTURESQUE LANDMARK OF St. LUCIA.'",St Lucia,1965,,,,,,,,,,
2005/010/1/13/4,Bristol Record Office,British Empire & Commonwealth,Morey,,"The Admiral's Inn, Antigua",1 photograph,,1 b/w photograph glued into album,1 b/w photograph,"The Admiral's Inn, Antigua. The louvered doors of the historic Admiral’s Inn open out onto a stone terrace covered with chairs and tables at Nelson’s Dockyard. English Harbour, Antigua, 1965. Caption reads 'THE ADMIRAL'S INN - ENGLISH HARBOUR'",Antigua,1965,,,,,,,,,,
2005/010/1/13/47,Bristol Record Office,British Empire & Commonwealth,Morey,,"Weaving a palm mat, Dominica",1 photograph,,1 b/w photograph glued into album,1 b/w photogragh,"Weaving a palm mat, Dominica A young woman sits on the ground as she weaves a mat from palm fibre. Dominica, 1965. Caption reads 'SOME OF THE DOMINICAN GIRLS ARE HIGHLY SKILLED AT MAT MAKING'.",Dominica,1965,,,,,,,,,,
2005/010/1/13/55,Bristol Record Office,British Empire & Commonwealth,Morey,,"Shelling a nutmeg harvest, Grenada",1 photograph,,1 b/w photograph glued into album,1 b/w/photograph,"Shelling a nutmeg harvest. A Grenadian woman uses a tool to crack open nutmeg shells against a wooden brick. Grenada, 1965. Caption reads THESE GIRLS ARE CRACKING NUTMEG SHELLS. NUTMEG IS A MAJOR EXPORT IN THIS ""ISLE OF SPICE""",Grenada,1965,,,,,,,,,,
